studentid	socialnumber	class	gradeclass	fname	lname	gradesubject	gradesubjectid	specialization	archive	archiveid	term	year	teacher	grade	gradeid	gradedate	catalogid	finalgrade	active	printdate
12345	010101-0101	9A	-	Sample	Student	FY	12		19/20	19	HT	9	Teacher22	F	6	2019-12-12	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	KE	13		16/17	16	VT	6	Teacher22	D	2	2017-06-01	0	0	1	
12345	010101-0101	9A	7A	Sample	Student	KE	13		17/18	17	VT	7	Teacher23	C	3	2018-06-07	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	KE	13		18/19	18	HT	8	Teacher22	C	3	2018-12-17	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	KE	13		18/19	18	VT	8	Teacher22	D	2	2019-06-04	0	0	1	
12345	010101-0101	9A	-	Sample	Student	KE	13		19/20	19	HT	9	Teacher22	C	3	2019-12-12	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	GE	15		16/17	16	HT	6	Teacher24, Teacher25	E	1	2016-12-13	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	GE	15		16/17	16	VT	6	Teacher25	E	1	2017-06-01	0	0	1	
12345	010101-0101	9A	7A	Sample	Student	GE	15		17/18	17	VT	7	Teacher24, Teacher26	D	2	2018-06-05	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	GE	15		18/19	18	HT	8	Teacher26	C	3	2018-12-17	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	GE	15		18/19	18	VT	8	Teacher26	B	4	2019-06-04	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	HI	16		16/17	16	VT	6	Teacher24, Teacher25	D	2	2017-05-30	0	0	1	
12345	010101-0101	9A	7A	Sample	Student	HI	16		17/18	17	VT	7	Teacher24, Teacher26	D	2	2018-06-05	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	HI	16		18/19	18	VT	8	Teacher26	E	1	2019-06-04	0	0	1	
12345	010101-0101	9A	-	Sample	Student	HI	16		19/20	19	HT	9	Teacher26	B	4	2019-12-12	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	RE	17		16/17	16	VT	6	Teacher24, Teacher25	C	3	2017-05-30	0	0	1	
12345	010101-0101	9A	7A	Sample	Student	RE	17		17/18	17	HT	7	Teacher24, Teacher26	D	2	2017-12-14	0	0	1	
12345	010101-0101	9A	7A	Sample	Student	RE	17		17/18	17	VT	7	Teacher24, Teacher26	D	2	2018-06-05	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	RE	17		18/19	18	VT	8	Teacher26	D	2	2019-06-04	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	SH	18		16/17	16	HT	6	Teacher24, Teacher25	D	2	2016-12-13	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	SH	18		16/17	16	VT	6	Teacher24, Teacher25	D	2	2017-05-30	0	0	1	
12345	010101-0101	9A	7A	Sample	Student	SH	18		17/18	17	VT	7	Teacher24, Teacher26	D	2	2018-06-05	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	SH	18		18/19	18	HT	8	Teacher26	C	3	2018-12-17	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	SH	18		18/19	18	VT	8	Teacher26	C	3	2019-06-04	0	0	1	
12345	010101-0101	9A	-	Sample	Student	SH	18		19/20	19	HT	9	Teacher26	D	2	2019-12-12	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	SL	19		16/17	16	HT	6	Teacher1, -	D	2	2016-12-13	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	SL	19		16/17	16	VT	6	Teacher1, -	B	4	2017-05-29	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	SL	19		18/19	18	HT	8	Teacher1	C	3	2018-12-17	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	SL	19		18/19	18	VT	8	Teacher2, Teacher1, Teacher27	C	3	2019-06-03	0	0	1	
12345	010101-0101	9A	-	Sample	Student	SL	19		19/20	19	HT	9	Teacher1, Teacher28	C	3	2019-12-12	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	SV	20		16/17	16	HT	6	Teacher29, Teacher25	D	2	2016-12-13	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	SV	20		16/17	16	VT	6	Teacher30, Teacher25	D	2	2017-06-01	0	0	1	
12345	010101-0101	9A	7A	Sample	Student	SV	20		17/18	17	HT	7	Teacher31	B	4	2017-12-14	0	0	1	
12345	010101-0101	9A	7A	Sample	Student	SV	20		17/18	17	VT	7	Teacher31	B	4	2018-06-05	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	SV	20		18/19	18	HT	8	Teacher32	C	3	2018-12-17	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	SV	20		18/19	18	VT	8	Teacher33	D	2	2019-05-29	0	0	1	
12345	010101-0101	9A	-	Sample	Student	SV	20		19/20	19	HT	9	Teacher31, Teacher33	D	2	2019-12-11	0	0	1	
12345	010101-0101	9A	6A	Sample	Student	TK	23		16/17	16	VT	6	Teacher22	C	3	2017-06-01	0	0	1	
12345	010101-0101	9A	7A	Sample	Student	TK	23		17/18	17	VT	7	Teacher23	C	3	2018-06-07	0	0	1	
12345	010101-0101	9A	8C	Sample	Student	TK	23		18/19	18	VT	8	Teacher22	E	1	2019-06-04	0	0	1	
54321	020202-0202	9A	6B	Other	Example	BL	1		16/17	16	VT	6	Teacher1	A	5	2017-05-29	0	0	1	
54321	020202-0202	9A	7B	Other	Example	BL	1		17/18	17	HT	7	Teacher1	B	4	2017-12-14	0	0	1	
54321	020202-0202	9A	8B	Other	Example	BL	1		18/19	18	HT	8	Teacher2	B	4	2018-12-17	0	0	1	
54321	020202-0202	9A	-	Other	Example	BL	1		19/20	19	HT	9	Teacher2	C	3	2019-12-12	0	1	1	
54321	020202-0202	9A	6B	Other	Example	EN	2		16/17	16	HT	6	Teacher3, Teacher4	D	2	2016-12-13	0	0	1	
54321	020202-0202	9A	6B	Other	Example	EN	2		16/17	16	VT	6	Teacher5, Teacher3	B	4	2017-05-30	0	0	1	
54321	020202-0202	9A	7B	Other	Example	EN	2		17/18	17	HT	7	Teacher6, Teacher34	D	2	2017-12-14	0	0	1	
54321	020202-0202	9A	7B	Other	Example	EN	2		17/18	17	VT	7	Teacher6, Teacher35	C	3	2018-06-05	0	0	1	
54321	020202-0202	9A	8B	Other	Example	EN	2		18/19	18	HT	8	Teacher6, Teacher7	C	3	2018-12-17	0	0	1	
54321	020202-0202	9A	8B	Other	Example	EN	2		18/19	18	VT	8	Teacher7, Teacher3	C	3	2019-06-04	0	0	1	
54321	020202-0202	9A	-	Other	Example	EN	2		19/20	19	HT	9	Teacher8, Teacher9	B	4	2019-12-12	0	0	1	
54321	020202-0202	9A	6B	Other	Example	HKK	3		16/17	16	HT	6	Teacher10	B	4	2016-12-13	0	0	1	
54321	020202-0202	9A	7B	Other	Example	HKK	3		17/18	17	VT	7	Teacher11	C	3	2018-06-05	0	0	1	
54321	020202-0202	9A	8B	Other	Example	HKK	3		18/19	18	VT	8	Teacher2, Teacher10	C	3	2019-06-04	0	0	1	
54321	020202-0202	9A	6B	Other	Example	IDH	4		16/17	16	HT	6	Teacher13	D	2	2016-12-12	0	0	1	
54321	020202-0202	9A	6B	Other	Example	IDH	4		16/17	16	VT	6	Teacher13	D	2	2017-05-30	0	0	1	
54321	020202-0202	9A	7B	Other	Example	IDH	4		17/18	17	HT	7	Teacher7	C	3	2017-12-14	0	0	1	
54321	020202-0202	9A	7B	Other	Example	IDH	4		17/18	17	VT	7	Teacher7	C	3	2018-06-05	0	0	1	
54321	020202-0202	9A	8B	Other	Example	IDH	4		18/19	18	HT	8	Teacher14	B	4	2018-12-17	0	0	1	
54321	020202-0202	9A	8B	Other	Example	IDH	4		18/19	18	VT	8	Teacher13, Teacher14	A	5	2019-06-04	0	0	1	
54321	020202-0202	9A	-	Other	Example	IDH	4		19/20	19	HT	9	Teacher10, Teacher15	B	4	2019-12-12	0	0	1	
54321	020202-0202	9A	6B	Other	Example	MA	5		16/17	16	HT	6	Teacher16	E	1	2016-12-13	0	0	1	
54321	020202-0202	9A	6B	Other	Example	MA	5		16/17	16	VT	6	Teacher16	E	1	2017-05-30	0	0	1	
54321	020202-0202	9A	7B	Other	Example	MA	5		17/18	17	HT	7	Teacher16	E	1	2017-12-14	0	0	1	
54321	020202-0202	9A	7B	Other	Example	MA	5		17/18	17	VT	7	Teacher16	E	1	2018-06-04	0	0	1	
54321	020202-0202	9A	8B	Other	Example	MA	5		18/19	18	HT	8	Teacher17	E	1	2018-12-17	0	0	1	
54321	020202-0202	9A	8B	Other	Example	MA	5		18/19	18	VT	8	Teacher17	E	1	2019-06-04	0	0	1	
54321	020202-0202	9A	-	Other	Example	MA	5		19/20	19	HT	9	Teacher18	D	2	2019-12-12	0	0	1	
